Claim #,Claimant,Loss Type,"Date of
Loss","Loss
State",Status,"Reported
Date","Closed
Date","Paid
Indemnity
BI/Med","Paid
Indemnity
PD/LT","Ind
Reserve",Exp Paid,"Exp
Res",Total Paid,"Incurred
Total"
9510124426,,"GENERAL
LIABILITY",03/17/2017,MA,Closed,03/21/2017,03/30/2017,$800.00,$0.00,$0.00,$0.00,$0.00,$800.00,$800.00
"Acc
Description",Products: adverse side effects/reactions,,,,,,,,,,,,,
9510134466,,"GENERAL
LIABILITY",12/26/2017,MA,Closed,01/09/2018,01/31/2018,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Auto: all other collision loss not otherwise listed,,,,,,,,,,,,,
9510134474,,"GENERAL
LIABILITY",01/06/2018,MA,Closed,01/09/2018,01/18/2018,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Premises/operations: claimant struck by object/not motor veh,,,,,,,,,,,,,
9510136552,,"GENERAL
LIABILITY",02/28/2018,MA,Closed,03/07/2018,04/27/2018,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Products: adverse side effects/reactions,,,,,,,,,,,,,
9510168241,,"GENERAL
LIABILITY",12/01/2017,MA,Closed,02/08/2021,07/30/2024,"$48,000.00",$0.00,$0.00,"$28,610.
40",$0.00,"$76,610.40","$76,610.4
0"
"Acc
Description","Premises/operations: slip/fall misc, not highway/municipal.",,,,,,,,,,,,,
