Claim #,Claimant,Loss Type,"Date of
Loss","Loss
State",Status,"Reported
Date","Closed
Date","Paid
Indemnity
BI/Med","Paid
Indemnity
PD/LT","Ind
Reserve",Exp Paid,"Exp
Res",Total Paid,"Incurred
Total"
9510136498,,"GENERAL
LIABILITY",03/04/2018,MA,Closed,03/06/2018,03/13/2018,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Premises/operations: claimant struck by object/not motor veh,,,,,,,,,,,,,
9510136509,,"GENERAL
LIABILITY",03/02/2018,MA,Closed,03/06/2018,03/12/2018,$0.00,$468.00,$0.00,$0.00,$0.00,$468.00,$468.00
"Acc
Description",Premises/E&O: damage to property of others,,,,,,,,,,,,,
9510140141,,"GENERAL
LIABILITY",05/31/2018,MA,Closed,06/01/2018,11/26/2018,"$5,000.00",$0.00,$0.00,$0.00,$0.00,"$5,000.00","$5,000.00"
"Acc
Description",Premises/operations: insect bites,,,,,,,,,,,,,
9510140569,,"GENERAL
LIABILITY",06/09/2018,MA,Closed,06/12/2018,12/14/2018,"$1,224.25",$0.00,$0.00,$0.00,$0.00,"$1,224.25","$1,224.25"
"Acc
Description","Premises/operations: slip/fall misc, not highway/municipal.",,,,,,,,,,,,,
9510141592,,"GENERAL
LIABILITY",07/05/2018,MA,Closed,07/06/2018,08/14/2018,"$1,522.35",$0.00,$0.00,$23.00,$0.00,"$1,545.35","$1,545.35"
"Acc
Description","Premises/operations: slip/fall misc, not highway/municipal.",,,,,,,,,,,,,
9510142392,,"GENERAL
LIABILITY",07/03/2018,MA,Closed,07/24/2018,07/31/2018,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Premises: Robbery/sexual/criminal assault,,,,,,,,,,,,,
9510143892,,"GENERAL
LIABILITY",08/27/2018,MA,Closed,08/30/2018,08/30/2018,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Service liability: damage to property not in care of insured,,,,,,,,,,,,,
