Claim #,Claimant,Loss Type,"Date of
Loss","Loss
State",Status,"Reported
Date","Closed
Date","Paid
Indemnity
BI/Med","Paid
Indemnity
PD/LT","Ind
Reserve",Exp Paid,"Exp
Res",Total Paid,"Incurred
Total"
9510072612,,"GENERAL
LIABILITY",03/24/2012,MA,Closed,04/03/2012,07/31/2012,$0.00,$0.00,$0.00,$31.00,$0.00,$31.00,$31.00
"Acc
Description",Premises/operations: claimant struck by object/not motor veh,,,,,,,,,,,,,
9510075341,,"GENERAL
LIABILITY",07/14/2012,MA,Closed,07/18/2012,09/10/2012,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Premises/E&O: damage to property of others,,,,,,,,,,,,,
9510077631,,"GENERAL
LIABILITY",09/03/2012,MA,Closed,10/24/2012,04/25/2013,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Premises/E&O: damage to property of others,,,,,,,,,,,,,
