Claim #,Claimant,Loss Type,"Date of
Loss","Loss
State",Status,"Reported
Date","Closed
Date","Paid
Indemnity
BI/Med","Paid
Indemnity
PD/LT","Ind
Reserve",Exp Paid,"Exp
Res",Total Paid,"Incurred
Total"
9510089220,,INNKEEPERS PD,03/16/2014,MA,Closed,03/18/2014,09/17/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description","Theft: guest property, not otherwise listed",,,,,,,,,,,,,
9510089221,,INNKEEPERS PD,03/16/2014,MA,Closed,03/18/2014,09/17/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description","Theft: guest property, from guest room",,,,,,,,,,,,,
9510089222,,INNKEEPERS PD,03/16/2014,MA,Closed,03/18/2014,10/20/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
