Claim #,Claimant,Loss Type,"Date of
Loss","Loss
State",Status,"Reported
Date","Closed
Date","Paid
Indemnity
BI/Med","Paid
Indemnity
PD/LT","Ind
Reserve",Exp Paid,"Exp
Res",Total Paid,"Incurred
Total"
9510069279,,"GENERAL
LIABILITY",11/15/2011,MA,Closed,11/18/2011,12/11/2014,$0.00,$0.00,$0.00,$628.22,$0.00,$628.22,$628.22
"Acc
Description","Premises/operations: slip/fall misc, not highway/municipal.",,,,,,,,,,,,,
9510073238,,"GENERAL
LIABILITY",12/10/2011,MA,Closed,04/27/2012,06/28/2012,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Products: adverse side effects/reactions,,,,,,,,,,,,,
9510079907,,"GENERAL
LIABILITY",04/17/2011,MA,Closed,03/07/2013,01/30/2015,"$55,000.00",$0.00,$0.00,"$12,299.
74",$0.00,"$67,299.74","$67,299.7
4"
"Acc
Description",Premises/operations: insect bites,,,,,,,,,,,,,
