Claim #,Claimant,Loss Type,"Date of
Loss","Loss
State",Status,"Reported
Date","Closed
Date","Paid
Indemnity
BI/Med","Paid
Indemnity
PD/LT","Ind
Reserve",Exp Paid,"Exp
Res",Total Paid,"Incurred
Total"
"Acc
Description","Theft: guest property, not otherwise listed",,,,,,,,,,,,,
9510089853,,"GENERAL
LIABILITY",04/06/2014,MA,Closed,04/10/2014,11/11/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Premises/operations: falling/flying object-not demo/blasting,,,,,,,,,,,,,
9510089966,,"GENERAL
LIABILITY",04/12/2014,MA,Closed,04/15/2014,06/20/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Premises/E&O: damage to property of others,,,,,,,,,,,,,
9510090345,,INNKEEPERS PD,04/20/2014,MA,Closed,04/29/2014,06/27/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Service liability: damage to property in care of insured,,,,,,,,,,,,,
9510091510,,"GENERAL
LIABILITY",06/09/2014,MA,Closed,06/11/2014,08/12/2014,"$2,632.75",$0.00,$0.00,$59.00,$0.00,"$2,691.75","$2,691.75"
"Acc
Description",Premises/operations: caught in/under/between,,,,,,,,,,,,,
9510093312,,"GENERAL
LIABILITY",08/11/2014,MA,Closed,08/13/2014,10/23/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Service liability: damage to property not in care of insured,,,,,,,,,,,,,
9510093313,,"GENERAL
LIABILITY",08/10/2014,MA,Closed,08/13/2014,08/28/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Service liability: damage to property not in care of insured,,,,,,,,,,,,,
9510093997,,"GENERAL
LIABILITY",09/08/2014,MA,Closed,09/09/2014,10/10/2014,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"Acc
Description",Service liability: damage to property in care of insured,,,,,,,,,,,,,
9510094154,,"GENERAL
LIABILITY",09/14/2014,MA,Closed,09/15/2014,10/10/2014,$0.00,$0.00,$0.00,$35.00,$0.00,$35.00,$35.00
"Acc
Description",Service liability: damage to property not in care of insured,,,,,,,,,,,,,
